DATE,ECOMNSA
1999-10-01,5266
2000-01-01,5563
2000-04-01,6069
2000-07-01,6899
2000-10-01,9083
2001-01-01,7888
2001-04-01,7819
2001-07-01,7757
2001-10-01,10806
2002-01-01,9629
2002-04-01,10078
2002-07-01,10761
2002-10-01,14172
2003-01-01,12365
2003-04-01,12982
2003-07-01,13922
2003-10-01,17920
2004-01-01,16202
2004-04-01,16506
2004-07-01,17393
2004-10-01,22554
2005-01-01,20166
2005-04-01,20967
2005-07-01,22198
2005-10-01,28143
2006-01-01,25513
2006-04-01,25852
2006-07-01,26923
2006-10-01,35170
2007-01-01,30437
2007-04-01,31632
2007-07-01,32397
2007-10-01,42188
2008-01-01,34342
2008-04-01,34351
2008-07-01,33579
2008-10-01,39670
2009-01-01,32377
2009-04-01,33025
2009-07-01,34600
2009-10-01,45954
2010-01-01,37184
2010-04-01,38633
2010-07-01,40255
2010-10-01,54568
2011-01-01,44384
2011-04-01,45543
2011-07-01,46215
2011-10-01,64481
2012-01-01,51548
2012-04-01,52245
2012-07-01,53478
2012-10-01,73292
2013-01-01,57985
2013-04-01,59749
2013-07-01,60772
2013-10-01,82700
2014-01-01,65532
2014-04-01,68685
2014-07-01,70185
2014-10-01,94193
2015-01-01,74982
2015-04-01,78784
2015-07-01,81020
2015-10-01,108175
2016-01-01,86351
2016-04-01,91290
2016-07-01,93672
